NCT_ID,Brief_Title,Has_Adverse_Events,Total_Deaths,Total_Serious_AEs,Total_Other_AEs,Unique_Serious_Events,Unique_Other_Events,Event_Groups
NCT01154231,BeneFIX Drug Use Results Survey [All-Case Surveillance],True,0,5,35,5,26,1
NCT01925131,"S1312, Inotuzumab Ozogamicin and Combination Chemotherapy in Treating Patients With Relapsed or Refr...",True,38,21,48,29,193,6
NCT02939131,IMPAACT 2002: Cognitive Behavioral Therapy and Medication Management for Treatment of Depression in ...,True,0,12,99,8,15,2
NCT01446731,Dendritic Cell Vaccination and Docetaxel for Patients With Prostate Cancer,True,0,4,40,4,27,2
NCT02118831,Systemic Pharmacokinetics Following Intravitreal Injections of Anti-VEGF,True,0,0,0,0,0,3
NCT01028131,Computer-Assisted Intervention for Smoking During Pregnancy,True,0,0,0,0,0,4
NCT02853331,Study to Evaluate the Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Axitinib Ve...,True,156,306,832,242,59,2
NCT01089127,Efficacy and Safety of Different Doses of Indacaterol in Chronic Obstructive Pulmonary Disease (COPD...,True,0,5,31,5,5,6
NCT00430573,Efficacy of D-Cycloserine for Enhancing the Effects of CBT for Substance Use,True,0,0,0,0,0,1
NCT05153473,Assessment of the Safety and the Performance of the SAGITTA EVL R Stems in Hip Arthroplasties,True,46,0,0,0,0,1
NCT00097773,Comparison of Two Treatment Regimens to Reduce PA Infection in Children With Cystic Fibrosis,True,0,83,270,59,106,4
NCT02383173,Evaluation of Methods for Implementation of a Comfort Care Order Set,True,0,0,0,0,0,2
NCT05523973,Lingual Endurance Exercise in Treating Post-Stroke Dysphagia,True,0,2,0,1,0,1
NCT03261973,Esophageal Deviation in Atrial Fibrillation Ablation,True,0,0,2,0,2,1
NCT00877773,Phosphatidylinositol 3 Kinase and Mammalian Target of Rapamycin (PI3K-mTOR) in Advanced Cancer Patie...,True,0,6,19,9,24,1
NCT04283773,Immunohistochemical Evaluation of Protein P16 Expression in Ovarian Germ Cell Tumors.,True,0,0,0,0,0,3
NCT00496873,"Evaluation of the Safety and Efficacy of Nipent, Cytoxan, and Rituxan",True,0,6,83,2,41,1
NCT00461773,Randomized Phase II Study of Preoperative Letrozole (Femara) in Combination With Avastin in Hormone ...,True,0,0,5,0,19,2
NCT02362373,Women With Epilepsy: a Pilot Study of PK and PD Anti-epileptic Drug Effects in Levonorgestrel Intrau...,True,0,0,5,0,24,1
NCT03304873,Retapamulin as a Decolonizing Agent for MRSA,True,0,0,14,0,1,2
NCT03000673,A Study to Evaluate Safety of Single Doses of BMS-986177 in Patients With End Stage Renal Disease (E...,True,0,0,0,0,0,4
NCT04143373,Effect of Warm Saline Irrigation on Bleeding in Mandibular Third Molar Surgery,True,0,0,0,0,0,1
NCT01090973,Oral LBH589 in Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL) and Mantle Cell Lymphoma (M...,True,0,1,1,1,1,1
NCT01022073,Follow Up Study for Treatment of Parkinson's Disease With Deep Brain Stimulation,True,0,4,0,1,0,2
NCT03523273,Pilot Study of the Effect of Liraglutide 3.0 mg on Weight Loss and Gastric Functions in Obesity,True,0,2,123,1,10,2
NCT04169373,A Study to Evaluate Efficacy and Safety of Upadacitinib in Adults With Axial Spondyloarthritis,True,1,62,206,45,4,5
NCT00764673,The 3DKnee™ System: A Post-Market Study,True,0,0,62,0,17,1
NCT03713073,Clinical and Histological Outcomes of Allogenic Amnion Chorion Membrane in the Healing of Free Gingi...,True,0,0,0,0,0,2
NCT00082173,Moxifloxacin As Part of a Multi-Drug Regimen For Tuberculosis,True,0,12,0,3,0,2
NCT01812473,Plasma Protein Binding Characteristics of Voriconazole,True,0,0,0,0,0,2
NCT00662831,Study Of The Effect Of Fragmin In The Treatment Of Neuroischaemic Foot Ulcers In Diabetic Patients,True,0,51,112,40,138,2
NCT00884273,Investigation of the Effect of Degarelix in Terms of Prostate Volume Reduction in Prostate Cancer Pa...,True,0,8,80,12,25,2
NCT01904773,"Safety, Tolerability, Pharmacokinetic, and Efficacy Study of AZD5213 in Adolescents With Tourette's ...",True,0,4,71,2,57,7
NCT00179673,"Lenalidomide (Revlimid®, CC-5013) in Subjects With Relapsed or Refractory Indolent Non-Hodgkin's Lym...",True,0,18,41,32,32,1
NCT00565773,Belatacept Post Depletional Repopulation to Facilitate Tolerance,True,0,0,14,0,7,1
NCT04734873,CPI-006 Plus Standard of Care Versus Placebo Plus Standard of Care in Mild to Moderately Symptomatic...,True,0,2,9,2,24,3
NCT01522131,Effect of Laser Use on Guided Tissue Regeneration in Treatment of Molar Teeth With Class 2 Furcation...,True,0,0,0,0,0,2
NCT00102531,Inhalation SLIT Cisplatin (Liposomal) for the Treatment of Osteosarcoma Metastatic to the Lung,True,0,3,12,6,4,2
NCT02211131,Efficacy and Safety of Talimogene Laherparepvec Neoadjuvant Treatment Plus Surgery Versus Surgery Al...,True,42,15,76,19,18,2
NCT01797731,Conventional Alignment System Versus Surgical Navigation System in Total Knee Arthroplasty,True,0,0,0,0,0,2
NCT03312231,Sanofi 2017 H7N9 With/Without AS03 in Adults/Elderly,True,3,21,652,29,18,5
NCT02913131,Hyperpolarized C-13 Pyruvate as a Biomarker in Patients With Advanced Solid Tumor Malignancies,True,0,0,0,0,0,2
NCT04452331,Assessing Open Access Audio,True,0,0,0,0,0,3
NCT02133131,"Efficacy and Safety of Grazoprevir (MK-5172), Elbasvir (MK-8742), and Sofosbuvir for Chronic Infecti...",True,0,4,20,6,12,7
NCT00965731,"Erlotinib Is Being Studied With Or Without An Investigational Drug, PF-02341066, In Patients With Lu...",True,0,10,26,14,142,2
NCT02419131,Cognitive-Behavior Therapy for Posttraumatic Headache,True,0,0,2,1,1,3
NCT01194531,Impact of Parental Support on Pregnancy Outcomes (IPSO) Trial- Day 3 Preimplantation Genetic Screeni...,True,0,0,0,0,0,2
NCT01182727,Salsalate for Insulin Resistance in Schizophrenia,True,0,0,0,0,0,1
NCT02062827,Genetically Engineered HSV-1 Phase 1 Study for the Treatment of Recurrent Malignant Glioma,True,19,5,19,16,83,7
NCT03311373,"A Randomized, Open-label, Single-dose, Single-center, Crossover Study in Healthy Subjects to Assess ...",True,0,0,13,0,3,4
NCT06016127,Cryoneurolysis for Facet Mediated Chronic Low Back Pain,True,0,0,1,0,1,2
NCT03648827,A Study to Assess Dystrophin Levels in Participants With Nonsense Mutation Duchenne Muscular Dystrop...,True,0,2,18,2,37,1
NCT01607073,Verapamil as Therapy for Children and Young Adults With Dravet Syndrome,True,0,1,2,1,3,1
NCT02288273,Study to Evaluate the Effect of BYDUREON on 24-hour Glucose Control in Metformin Treated Patients Wi...,True,0,5,61,5,21,2
NCT04155073,E-Visit for COPD and Smoking Cessation,True,0,0,0,0,0,2
NCT03451773,M7824 (MSB0011359C) in Combination With Gemcitabine in Adults With Previously Treated Advanced Adeno...,True,7,6,7,10,64,2
NCT02679573,Study to Compare Delafloxacin to Moxifloxacin for the Treatment of Adults With Community-acquired Ba...,True,14,43,70,36,3,2
NCT04166773,A Study of Tirzepatide (LY3298176) in Participants With Nonalcoholic Steatohepatitis (NASH),True,0,12,170,15,277,4
NCT00944073,Peds Sanofi H1N1 Influenza Vaccine Administered at Two Dose Levels,True,0,7,508,7,22,2
NCT01640873,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of MK-8655 in Participants With Type 2 D...",True,0,0,18,0,17,2
NCT00846573,Hyperpolarized Noble Gas MR Imaging for Pulmonary Disorders,True,0,0,0,0,0,3
NCT02935673,"Study to Evaluate the Antiviral Activity, Clinical Outcomes, Safety, Tolerability, and Pharmacokinet...",True,0,7,28,8,41,3
NCT01263873,Examining the Ease of Intubation Using the Parker Flex-Tip® or a Standard Endotracheal Tube,True,0,0,0,0,0,2
NCT04222673,Peer Based Suicide Prevention,True,0,0,0,0,0,1
NCT04002973,Desaturation Validation of INVSENSOR00037,True,0,0,0,0,0,1
NCT01880073,FemVue and Tubal Patency,True,0,0,0,0,0,1
NCT01462773,"Study of Patients With Stage IV Malignant Melanoma Using PS-341 (Bortezomib, Velcade) and Interferon...",True,0,0,8,0,4,1
NCT01072773,"Bortezomib, Cyclophosphamide, and Dexamethasone in Treating Patients With Primary Systemic Light Cha...",True,0,1,2,8,10,1
NCT03035773,Simplifying Survivorship Care Planning,True,0,0,0,0,0,3
NCT02370173,A Non-Pharmacological Method for Enhancing Sleep in PTSD,True,0,0,0,0,0,2
NCT04420273,Targeted Melanoma Detection With Skin Self-Examination During COVID-19 Restricted Physician Access,True,0,0,0,0,0,2
NCT05124873,Moisture Management Liner At-Home Evaluation,True,0,0,0,0,0,1
NCT04723173,Quality Control of CE-Certified Phonak Hearing Aids - 2020_43,True,0,0,2,0,2,2
NCT01765673,The Passy Muir Swallowing Self Training Device,True,0,0,0,0,0,1
NCT00538473,Evaluate Safety and Immunogenicity of GSK Bio's Influenza Vaccine GSK576389A After Repeated Vaccinat...,True,0,0,41,0,13,2
NCT00201773,"Exemestane With Celecoxib as Neoadjuvant Treatment in Postmenopausal Women With Stage II, III, and I...",True,0,0,44,0,15,2
NCT00452673,Phase I Study of Dasatinib (BMS-354825) and Capecitabine for Women With Advanced Breast Cancer,True,0,21,52,29,125,4
NCT05876273,Neural-net Artificial Pancreas (NAP),True,0,0,0,0,0,2
NCT01856673,Evaluation of Two Community-based Mental Health Interventions for Violence-Displaced Afro-Descendant...,True,2,0,0,0,0,3
NCT02595073,Clinical Study to Evaluate the Efficacy and Safety of Desoximetasone (DSXS) With Atopic Dermatitis,True,0,0,21,0,17,2
NCT01578031,The Effects of Treating Obese and Lean Patients With Sleep Apnea,True,1,9,42,6,5,4
NCT04740931,A Study to Evaluate the Efficacy and Safety of Faricimab in Participants With Macular Edema Secondar...,True,8,172,360,164,10,4
NCT01159431,External Trigeminal Nerve Stimulation for Epilepsy,True,0,1,9,1,3,2
NCT00081731,Benefits of Medical Therapy Plus Stenting for Renal Atherosclerotic Lesions,True,0,573,870,16,7,2
NCT02490631,2% Chlorhexidine Gluconate Skin Cloths to Prevent SSI in Spine Surgery Patients,True,0,0,0,0,0,2
NCT03547531,Comparison of Modified Circular and Natural Tooth Brushing Methods in Effectiveness of Dental Plaque...,True,0,0,0,0,0,2
NCT04101331,Phase II Study to Assess AFM13 in Patients With R/R CD30-positive T-cell Lymphoma or Transformed Myc...,True,52,44,95,44,30,1
NCT02762331,High Dose Vitamin C in Cardiac Surgery Patients,True,0,0,0,0,0,2
NCT01431131,Ridge Preservation Comparing an Intrasocket Graft Alone to an Intrasocket Graft Plus a Facial Overla...,True,0,0,0,0,0,2
NCT03057431,Hydrochlorothiazide for Kidney Stone Recurrence Prevention,True,0,5,12,1,1,4
NCT02950831,Objective Assessment of Activity and Sleep Quality In Burst Spinal Cord Stimulation,True,0,0,3,0,2,1
NCT03633331,"Palbociclib and Letrozole or Fulvestrant in Treating Patients With Estrogen Receptor Positive, HER2 ...",True,4,35,92,63,190,1
NCT02021331,The Effect of Immediate Implant Placement and Provisionalization in the Esthetic Zone,True,0,0,5,0,4,2
NCT00416182,Nasally Delivered Pulmozyme for Sinusitis in Cystic Fibrosis,True,0,3,1,1,1,2
NCT02597582,LigaSure Small Jaw® Versus Conventional Neck Dissection in Head and Neck Cancer Patients,True,0,0,0,0,0,2
NCT01677182,Safety and Efficacy Study of Ramelteon (TAK-375) Tablets for Sublingual Administration (SL) in Adult...,True,0,6,42,6,1,3
NCT02877082,"Tacrolimus, Bortezomib, & Thymoglobulin in Preventing Low Toxicity GVHD in Donor Blood Stem Cell Tra...",True,2,4,0,5,0,1
NCT02052882,Study of Romiplostim for Chemotherapy Induced Thrombocytopenia,True,53,0,6,0,5,1
NCT00084682,Depsipeptide in Unresectable Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,True,0,12,11,10,5,1
NCT00790582,A Multi-Center Controlled Screening Trial of Safety and Efficacy of Lithium Carbonate in Subjects Wi...,True,58,153,274,3,12,2
NCT03545282,Intervention Trial to Reduce Mental Health Disparities in Latina Immigrant Women,True,0,0,0,0,0,2
NCT01527682,Efficacy and Safety of Topically Applied Medical Therapy for the Treatment of Pediatric Glaucoma,True,0,0,22,0,5,1
NCT01777282,A Study to Determine the Long Term Safety and Efficacy of Albiglutide in Combination With Oral Monot...,True,0,8,196,8,10,5
NCT02922582,Study of Local Administration of DepoTXA for Reduced Postsurgical Bleeding in Subjects Undergoing TK...,True,0,0,14,0,14,4
NCT01163682,Electro-acupuncture for the Prevention of Taxane Induced Myalgias and Neuropathy,True,0,0,1,0,1,2
NCT02311582,MK-3475 in Combination With MRI-guided Laser Ablation in Recurrent Malignant Gliomas,True,37,24,45,47,168,5
NCT01946282,Evidence-Based Colorectal Cancer Screening for the Uninsured,True,0,0,0,0,0,3
NCT01345682,LUX-Head&Neck 1: A Phase III Trial of Afatinib (BIBW2992) Versus Methotrexate for the Treatment of R...,True,0,241,455,178,42,2
NCT01428882,Propofol vs. Midazolam-based Balanced Propofol for Nonanesthesiologist Moderate Sedation in Colonosc...,True,0,0,0,0,0,2
NCT00708682,Study Evaluating 13-Valent Pneumococcal Conjugate Vaccine in Healthy Infants in Mexico,True,0,8,281,10,109,3
NCT00643682,Improving Bowel Preparation for Colonoscopy With a Simple Educational Card,True,0,0,0,0,0,2
NCT01396382,68Ga-DOTATATE PET Scan in Neuroendocrine Cancer,True,0,0,51,0,9,1
NCT01666782,Study Comparing High-Dose Flu Vaccine to Standard Vaccine in Cancer Patients Less Than 65 Receiving ...,True,0,0,48,0,11,2
NCT00451282,Stepped Preventive Care to Reduce the Impact of Acute Pediatric Injury,True,0,0,0,0,0,2
NCT00906282,"Preoperative Pemetrexed and Carboplatin for Select Stage IB, II, and III Non-Squamous Non-Small-Cell...",True,0,18,46,15,49,1
NCT00527982,Celecoxib as Adjuvant Biologic Therapy in Patients With Head and Neck and Lung Cancer,True,0,0,0,0,0,2
NCT01120782,Non-dispensing Study to Check Prescription Equivalence of Two Daily Disposable Toric Contact Lens Ty...,True,0,0,0,0,0,1
NCT00793182,Effects of Contrast Media on Subjects With Stable Reduced Renal Function Undergoing Contrast-Enhance...,True,0,1,2,1,3,2
NCT03001882,An Exploratory Study of the Effects of Nivolumab Combined With Ipilimumab in Patients With Treatment...,True,184,151,220,144,99,4
NCT02691182,Treatment of Impulsive Aggression in Subjects With ADHD in Conjunction With Standard ADHD Treatment ...,True,0,22,196,11,17,4
NCT01129882,"An Open-Label, Multicenter, Rollover, Long-term Study of Aripiprazole Intramuscular Depot in Partici...",True,6,62,515,66,9,1
NCT03542682,The Effect of Bolus Speed of Rapid-Acting Insulin Analog Absorption and Action in Individuals With T...,True,0,0,1,0,1,2
NCT02626182,Evaluation and Treatment of Pulmonary Vascular Disease in Moderate to Severe CF,True,0,2,12,1,18,2
NCT02453282,Phase III Open Label First Line Therapy Study of MEDI 4736 (Durvalumab) With or Without Tremelimumab...,True,853,421,995,261,894,3
NCT03725982,Work Physiological-Biomechanical Analysis of a Passive Exoskeleton to Support Occupational Lifting a...,True,0,0,0,0,0,2
NCT05435482,Facilitating COVID-19 Test for Korean Americans Through Korean Schools in Northern California,True,0,0,0,0,0,2
NCT00161382,"Development and Evaluation of an HIV, STD, and Pregnancy Prevention Program for Middle School Studen...",True,0,0,0,0,0,2
NCT05027282,Safety and Effectiveness of the CLEAR + BRILLIANT TOUCH(R) Diode Laser 1440-nm and 1927-nm Combinati...,True,0,0,0,0,0,1
NCT02192931,A Randomized Double-Blind Controlled Trial of Creatine in Female Methamphetamine Users,True,0,0,10,0,1,3
NCT02718131,A Study of INFUSE Bone Graft (BMP-2) in the Treatment of Tibial Pseudarthrosis in Neurofibromatosis ...,True,0,1,2,1,2,2
NCT01594931,Phase II Dose-ranging Study of Pyronaridine/Artesunate in Adults Patients With Plasmodium Falciparum...,True,0,4,287,6,47,3
NCT01050231,Robotics For Rehabilitation Therapy: Functional Versus Individual Joint Training,True,0,0,0,0,0,2
NCT04127331,Gastric Ultrasound,True,0,0,0,0,0,3
NCT00859131,Safety and Efficacy Study of Thymoglobulin Versus IL2 Receptor Antagonists,True,0,0,81,0,3,2
NCT01588431,Bevacizumab/Ph 2 for Locally Advanced Head and Neck Cancer,True,1,2,3,3,10,1
NCT01601431,The Utility of Cap Colonoscopy in Increasing Adenoma Detection Rate,True,0,1,0,1,0,2
NCT01780831,Safety and Pharmacokinetics of Raltegravir in HIV-1-Exposed Newborn Infants at Risk of Acquiring HIV...,True,0,13,49,15,61,4
NCT00762931,Neurostimulation for the Relief of Acute Bronchoconstriction,True,1,11,8,7,7,1
NCT03140631,Use of Protamine for Heparin Reversal After Catheter Ablation of Atrial Fibrillation,True,1,2,9,2,1,2
NCT05175131,Efficacy and Safety of Mebeverine + Simethicone in Patients With Functional Bowel Disorders,True,0,1,106,1,3,3
NCT01762631,Remote Food Photography Method in Infants,True,0,0,0,0,0,2
NCT03357731,A Study of Continuous Infusions of HNO (Nitroxyl) Donor in Patients With Heart Failure and Impaired ...,True,0,2,24,2,2,3
NCT00759031,Investigation of Dental Plaque and Gingival Index,True,0,0,0,0,0,2
NCT01819831,A Phase II Trial of Preoperative Proton Therapy in Soft-tissue Sarcomas of the Extremities and Body ...,True,0,1,0,1,0,1
NCT01181531,Compare the Efficacy of Cinacalcet vs Traditional Vitamin D for Secondary Hyperparathyroidism (SHPT)...,True,0,128,181,151,36,2
NCT00671931,Susceptibility of Motor-Evoked Potentials to Varying Targeted Blood Levels of Dexmedetomidine,True,0,0,0,0,0,5
NCT02013531,Brexpiprazole (OPC-34712) as an Adjunctive Treatment in Adults With Major Depressive Disorder and An...,True,0,1,28,1,15,1
NCT00361231,"Gemcitabine, Oxaliplatin in Combination With Bevacizumab in Biliary Tract and Gallbladder Cancer",True,0,12,35,17,31,1
NCT00599131,Cetuximab and Radiation Therapy in Laryngeal Cancer Patients Who Have Responded to One Cycle of Chem...,True,0,2,4,6,53,1
NCT00304031,Radiation Therapy (RT) and Temozolomide (TMZ) in Treating Patients With Newly Diagnosed Glioblastoma...,True,0,378,984,192,71,3
NCT02721082,Changing the Default for Tobacco Treatment,True,46,280,0,1,0,2
NCT04807582,Measuring Fatty Acid Oxidation in Cerebral Metastases Using [18F]FPIA,True,0,0,0,0,0,2
NCT00518882,Effect of Liraglutide or Exenatide Added to an Ongoing Treatment on Blood Glucose Control in Subject...,True,0,46,329,58,15,2
NCT03839082,Structured Mobile Technology Based Lifestyle Program vs Usual Care for Patients With Non-alcoholic F...,True,0,0,0,0,0,2
NCT01731782,Evaluation of a TAP Block Given During Laparoscopic Colorectal Surgery to Help Control Pain,True,0,1,0,1,0,2
NCT01115582,Efficacy of To Be Marketed (TBM) Cholic Acid Capsules Used to Treat Children With Inborn Errors of B...,True,0,1,9,2,8,1
NCT02152982,Temozolomide With or Without Veliparib in Treating Patients With Newly Diagnosed Glioblastoma Multif...,True,335,101,424,85,171,2
NCT00620282,The Effect of Liraglutide on Endothelial Function in Subjects With Type 2 Diabetes Mellitus,True,0,1,25,1,39,3
NCT03923582,Training for Health Professionals In Tanzania,True,0,0,0,0,0,2
NCT00839982,Clofarabine and Cytarabine in Treating Older Patients With AML or High-Risk MDS,True,5,24,0,13,0,1
NCT03794882,Impact of Quadratus Lumborum Block on Recovery Profile After Ventral Hernia Repair,True,0,0,1,0,2,2
NCT00537082,Efficacy and Safety of FTY720 in Patients With Relapsing Multiple Sclerosis (MS),True,0,19,110,14,16,3
NCT05275582,Developing a Team-Delivered Intervention for Smoking and Hazardous Drinking for Primary Care Veteran...,True,1,3,0,3,0,2
NCT04559282,Home Test of New Sound Processor,True,0,0,0,0,0,3
NCT00669682,T-wave Alternans and Intrathoracic Impedance Measurements,True,0,0,0,0,0,1
NCT01616082,Effect of Caloric Restriction on Fat Oxidation in Obese Men and Women (Magellan II),True,0,0,0,0,0,2
NCT02864082,A Safety and Tolerability Study of Topical PAT-001 in Congenital Ichthyosis,True,0,1,17,3,18,4
NCT05919082,A Study to Investigate Efficacy and Safety With LEO 90100 Compared With Daivobet® Ointment in Adult ...,True,0,4,92,4,10,2
NCT00724282,Treatment of Insomnia and Glucose Metabolism,True,0,0,1,0,1,1
NCT03096782,Umbilical Cord Blood Transplant With Added Sugar and Chemotherapy and Radiation Therapy in Treating ...,True,1,1,6,1,70,1
NCT04191382,Phase 2 Window Study of SAR439859 (Amcenestrant) Versus Letrozole in Post-menopausal Patients With E...,True,0,2,37,2,14,3
NCT02267382,A Study to Evaluate Oral VT-1161 in the Treatment of Patients With Recurrent Vaginal Candidiasis (Ye...,True,0,5,150,6,174,5
NCT01227382,Accuracy of Spybite Forceps When Compared to Conventional Sampling Methods,True,0,1,2,1,1,1
NCT02878382,Potential Impact of Patient Vitamin D Status in AK Response to MAL-PDT,True,0,0,27,0,1,2
NCT02243631,Effect of Probenecid on Synovial Fluid ATP Levels in CPPD,True,0,0,0,0,0,2
NCT01289431,Mapracorat Ophthalmic Formulation in Subjects With Allergic Conjunctivitis,True,0,0,17,0,5,7
NCT00956631,MiDAS I (Mild® Decompression Alternative to Open Surgery): Vertos Mild Patient Evaluation Study,True,0,0,0,0,0,1
NCT00492531,Sildenafil Therapy for Pulmonary Hypertension and Sickle Cell Disease,True,0,25,58,15,8,2
NCT04926831,Phase II of Neoadjuvant and Adjuvant Capmatinib in NSCLC,True,1,3,4,9,74,1
NCT00661531,Estrogen in Postmenopausal Women With ER Positive Metastatic Breast Cancer After Failure of Sequenti...,True,0,2,11,2,40,1
NCT03569631,A 2-Period Crossover Study of BPN14770 in Adults Males With Fragile X Syndrome,True,0,1,11,1,3,2
NCT00018031,Peginterferon Alpha-2b And Ribavirin to Treat Hepatitis C in HIV-Infected Patients,True,0,3,20,3,3,1
NCT00939731,Relative Drug Exposures Of Two Formulations of PF-02341066,True,0,0,15,0,10,2
NCT02723331,Perioperative Therapy for Resectable and Borderline-Resectable Pancreatic Adenocarcinoma With Molecu...,True,44,27,48,37,116,2
NCT04815031,Drug Use Investigation of COMIRNATY Intramuscular Injection,True,1,168,0,112,0,2
NCT00669331,Inhaled Mannitol as a Mucoactive Therapy for Bronchiectasis,True,0,94,429,49,14,2
NCT02251431,Extended Release Exenatide Versus Placebo In Diabetic Patients With Type 4 Cardiorenal Syndrome,True,0,1,41,1,2,2
NCT01199731,Dose-finding Study of GSK2248761 in Antiretroviral Therapy-experienced Subjects With NNRTI-resistant...,True,0,5,23,3,71,3
NCT05292131,A Bioequivalence Study of Bimekizumab Given as 1x2mL or 2x1mL Subcutaneous Injection Using an Autoin...,True,0,0,27,0,3,2
NCT00766831,An Efficacy and Safety Study of Hydromorphone Oral Osmotic System (OROS) in Korean Participants With...,True,0,22,90,29,9,1
NCT02566031,"A Randomized, Multicenter, Open-label, Parallel-group, 12-week Study to Assess the Efficacy and Safe...",True,0,22,42,7,1,3
NCT04171531,Sling vs Botox for Mixed Incontinence,True,0,11,81,15,74,2
NCT02854631,Selonsertib in Combination With Prednisolone Versus Prednisolone Alone in Participants With Severe A...,True,23,46,85,63,33,2
NCT02927431,Study to Evaluate the Efficacy and Safety of Danirixin Co-administered With Oseltamivir in the Treat...,True,0,2,8,2,17,3
NCT01249131,A Study of Relative Bioavailability and Food Effect Study of Cobimetinib in Healthy Participants,True,0,0,23,0,43,3
NCT01422382,Drug-Drug Interaction of Cardizem LA (Diltiazem Hydrochloride) on Pitavastatin,True,0,0,12,0,4,1
NCT04089982,Varenicline Light Smoking Pilot,True,0,1,10,1,7,2
NCT01283282,Investigation of the Athero-Protective Effects of Clopidogrel,True,0,0,0,0,0,2
NCT03333382,Plastic vs. Fully Covered Self Expanding Stents (FCSEMS) for Treatment of Anastomotic Bile Leaks,True,0,0,0,0,0,2
NCT04760782,PTH Analog Type II Odontoid Fracture,True,1,1,0,2,0,2
NCT01112982,An Assessment of Chronic Synovial-Based Inflammation and Its Role With Serum Urate Levels.,True,0,1,8,1,3,1
NCT04235582,Incentives to Decrease Opioid Use - Pilot,True,0,0,0,0,0,3
NCT03567382,Arresting Vertical Transmission of Hepatitis B Virus,True,1,0,2,0,1,4
NCT01544582,Drug Utilization of Boceprevir and Clinical Management of Health Outcomes of Interest in Chronic Hep...,True,0,116,376,110,4,3
NCT02418182,A Randomized Controlled Trial of Oral Acetaminophen for Analgesic Control After Transvaginal Oocyte ...,True,0,0,13,0,1,2
NCT00947882,A Trial of Degarelix in Men With Lower Urinary Tract Symptoms (LUTS) Associated With Benign Prostati...,True,0,19,161,24,11,4
NCT04986982,OpiCapone Effect on Motor Fluctuations and pAiN,True,0,6,76,8,125,2
NCT01310582,Recovery Following Desflurane Versus Sevoflurane for Outpatient Urologic Surgery in Elderly Females,True,0,0,0,0,0,2
NCT01157182,"Estradiol/Norethindrone Acetate Tablets, 1/0.5 mg Under Fasting Conditions",True,0,0,3,0,1,2
NCT02611882,Evaluation of Gallium-68-HBED-CC-PSMA Imaging in Prostate Cancer Patients,True,0,0,0,0,0,2
NCT01534182,Evaluation of Patient Reported Outcomes in RRMS Patients Candidates for MS Therapy Change and Transi...,True,0,2,62,2,7,3
NCT03103282,Post-market Clinical Study to Confirm Safety and Performance of PuraStat® for the Management of Blee...,True,1,7,20,5,2,1
NCT00728182,Evaluating Neuroprotection in Aneurysm Coiling Therapy,True,0,23,168,7,20,2
NCT00569582,A Study of the Efficacy and Safety of CORLUX in the Treatment of Endogenous Cushing's Syndrome,True,0,16,49,22,50,1
NCT05868382,"Study to Evaluate the Safety, Reactogenicity, and Immunogenicity of mRNA Vaccine Candidate Variation...",True,0,5,3,5,1,6
NCT00370682,A Phase II Trial of a Live Attenuated Virus Tetravalent Dengue Vaccine in Healthy Adults in Thailand,True,0,3,108,3,74,3
NCT03182582,Efficacy of Laser Debridement on Pain and Bacterial Load in Chronic Wounds,True,0,0,0,0,0,2
NCT00174382,Vaspect Study - An Open-Label Trial Of Donepezil in Vascular and Mixed Dementia,True,0,24,53,26,7,1
NCT04172831,A Study To Evaluate The Efficacy And Safety Of TNX-102 SL In Patients With Fibromyalgia,True,0,7,73,14,3,2
NCT01890031,Interactive Cholesterol Advisory Tool,True,0,0,0,0,0,5
NCT05034731,Evaluation of Remote Fitting in Adult and Pediatric Users of the HiResolution Bionic Ear System,True,0,0,2,0,2,2
NCT01099631,"IL-2 Expressing, Attenuated Salmonella Typhimurium in Unresectable Hepatic Spread",True,18,12,18,11,34,6
NCT01650831,Show Equivalence of the Modified BreathID Compared to Currently Approved BreathID in H.Pylori Detect...,True,0,0,0,0,0,1
NCT00590031,Phase II Trial of Preoperative Combined Modality Therapy for Esophageal Carcinoma: Cisplatin-Irinote...,True,0,22,55,23,28,1
NCT01999231,Phase I Clinical Human Tolerability Study of Recombinant Mycobacterium Tuberculosis Allergen ESAT6-C...,True,0,0,3,0,4,4
NCT03934931,Options for Delivering Isoniazid-Rifapentine (3HP) for TB Prevention (3HP Options Implementation Tri...,True,1,14,245,9,4,3
NCT06137131,Voice Therapy With a Semi-occluded Vocal Tract,True,0,0,0,0,0,4
NCT00240331,AURORA: Crestor 10mg Versus Placebo in Subjects With End-stage Renal Disease (ESRD),True,0,2299,1255,915,24,2
NCT02329431,Padres Efectivos (Parent Activation): Skills Latina Mothers Use to Get Healthcare for Their Children,True,0,0,0,0,0,2
NCT04662931,An Indian Multi-centric Phase IV Study to Assess the Safety of Crizanlizumab in Sickle Cell Disease ...,True,3,3,25,3,4,1
NCT01986231,Safety Study of Repeated Doses of Glucagon on Animal Starch in the Liver,True,0,0,3,0,5,1
NCT03736031,With Love: Using Promotoras for a Hispanic Community Palliative Care Promotora Palliative Care,True,6,3,48,1,3,2
NCT01454531,An Open Trial to Assess the Tolerability of AVANZ Phleum Pratense Immunotherapy,True,0,3,109,2,4,1
